Base;Date
27,9704;20.05.2013
43,0133;21.05.2013
34,2458;22.05.2013
45,5879;23.05.2013
47,0383;24.05.2013
32,5129;25.05.2013
21,0754;26.05.2013
43,475;27.05.2013
42,1992;28.05.2013
49,8004;29.05.2013
36,5304;30.05.2013
32,2204;31.05.2013
29,4363;01.06.2013
9,2646;02.06.2013
31,0742;03.06.2013
39,0017;04.06.2013
37,6863;05.06.2013
35,9879;06.06.2013
33,8096;07.06.2013
26,3754;08.06.2013
14,4242;09.06.2013
30,2654;10.06.2013
31,8208;11.06.2013
31,1292;12.06.2013
29,0804;13.06.2013
29,1621;14.06.2013
15,4404;15.06.2013
-3,3263;16.06.2013
37,0454;17.06.2013
33,4192;18.06.2013
34,4917;19.06.2013
37,6408;20.06.2013
30,3446;21.06.2013
15,9233;22.06.2013
11,8246;23.06.2013
33,5225;24.06.2013
34,0492;25.06.2013
29,6992;26.06.2013
38,0046;27.06.2013
33,5883;28.06.2013
27,9558;29.06.2013
16,5388;30.06.2013
31,6925;01.07.2013
37,5938;02.07.2013
40,4129;03.07.2013
41,2;04.07.2013
34,4063;05.07.2013
26,2383;06.07.2013
18,5579;07.07.2013
33,0392;08.07.2013
36,5858;09.07.2013
33,0621;10.07.2013
37,1029;11.07.2013
35,1379;12.07.2013
31,9371;13.07.2013
20,2967;14.07.2013
38,2675;15.07.2013
41,7242;16.07.2013
46,8554;17.07.2013
44,1904;18.07.2013
37,0258;19.07.2013
31,6204;20.07.2013
25,8638;21.07.2013
42,4646;22.07.2013
46,8783;23.07.2013
51,0242;24.07.2013
50,5121;25.07.2013
43,0046;26.07.2013
33,2283;27.07.2013
22,5088;28.07.2013
45,5896;29.07.2013
37,1954;30.07.2013
33,9104;31.07.2013
39,8592;01.08.2013
36,6838;02.08.2013
30,9108;03.08.2013
30,5167;04.08.2013
43,7492;05.08.2013
36,9975;06.08.2013
39,4021;07.08.2013
37,7675;08.08.2013
39,9408;09.08.2013
29,2271;10.08.2013
18,3954;11.08.2013
36,7008;12.08.2013
36,7504;13.08.2013
32,8688;14.08.2013
32,7654;15.08.2013
36,575;16.08.2013
32,0546;17.08.2013
23,2354;18.08.2013
56,135;19.08.2013
43,2671;20.08.2013
44,3067;21.08.2013
47,1504;22.08.2013
45,9433;23.08.2013
30,3025;24.08.2013
26,02;25.08.2013
44,0579;26.08.2013
50,0225;27.08.2013
52,6983;28.08.2013
53,0921;29.08.2013
45,2046;30.08.2013
32,6504;31.08.2013
27,3575;01.09.2013
32,8554;02.09.2013
49,115;03.09.2013
53,0671;04.09.2013
46,0458;05.09.2013
39,4308;06.09.2013
37,3146;07.09.2013
30,2375;08.09.2013
47,0042;09.09.2013
47,8858;10.09.2013
48,2317;11.09.2013
50,2892;12.09.2013
48,6492;13.09.2013
35,4279;14.09.2013
27,3579;15.09.2013
41,2221;16.09.2013
36,4588;17.09.2013
46,9579;18.09.2013
47,4992;19.09.2013
50,2417;20.09.2013
36,2025;21.09.2013
26,2825;22.09.2013
39,6954;23.09.2013
51,5671;24.09.2013
54,9554;25.09.2013
54,3333;26.09.2013
52,5329;27.09.2013
37,1775;28.09.2013
19,1779;29.09.2013
36,7896;30.09.2013
48,4013;01.10.2013
37,1846;02.10.2013
28,5471;03.10.2013
38,4154;04.10.2013
35,7571;05.10.2013
33,4933;06.10.2013
54,9988;07.10.2013
52,1463;08.10.2013
52,8167;09.10.2013
53,82;10.10.2013
40,84;11.10.2013
35,3583;12.10.2013
31,1404;13.10.2013
43,675;14.10.2013
49,2992;15.10.2013
50,2908;16.10.2013
31,5721;17.10.2013
37,1333;18.10.2013
28,5788;19.10.2013
24,4088;20.10.2013
44,4983;21.10.2013
37,7896;22.10.2013
32,8038;23.10.2013
40,3021;24.10.2013
39,3167;25.10.2013
28,9929;26.10.2013
11,8856;27.10.2013
19,8983;28.10.2013
30,5017;29.10.2013
38,7642;30.10.2013
36,5504;31.10.2013
32,6175;01.11.2013
28,8563;02.11.2013
11,32;03.11.2013
28,3496;04.11.2013
35,9513;05.11.2013
32,0283;06.11.2013
35,2829;07.11.2013
46,0117;08.11.2013
23,9588;09.11.2013
22,5954;10.11.2013
40,6608;11.11.2013
47,15;12.11.2013
47,4833;13.11.2013
48,8554;14.11.2013
47,3313;15.11.2013
35,0325;16.11.2013
36,2704;17.11.2013
44,88;18.11.2013
52,44;19.11.2013
49,5338;20.11.2013
53,9133;21.11.2013
48,9438;22.11.2013
42,9563;23.11.2013
30,0317;24.11.2013
45,6017;25.11.2013
54,3896;26.11.2013
44,275;27.11.2013
39,11;28.11.2013
37,3858;29.11.2013
33,2513;30.11.2013
28,0379;01.12.2013
57,4683;02.12.2013
55,1288;03.12.2013
47,8792;04.12.2013
34,3192;05.12.2013
30,785;06.12.2013
32,4792;07.12.2013
32,2904;08.12.2013
38,7075;09.12.2013
62,0175;10.12.2013
62,8875;11.12.2013
61,9104;12.12.2013
62,6538;13.12.2013
36,7846;14.12.2013
23,6363;15.12.2013
36,6758;16.12.2013
53,2129;17.12.2013
46,1963;18.12.2013
34,4688;19.12.2013
37,4633;20.12.2013
24,4121;21.12.2013
3,6367;22.12.2013
24,285;23.12.2013
-6,28;24.12.2013
23,7042;25.12.2013
33,7046;26.12.2013
23,085;27.12.2013
22,6517;28.12.2013
27,7679;29.12.2013
30,2683;30.12.2013
25,9813;31.12.2013
17,3788;01.01.2014
27,9258;02.01.2014
27,7067;03.01.2014
25,3671;04.01.2014
24,5488;05.01.2014
22,1663;06.01.2014
27,5167;07.01.2014
33,4879;08.01.2014
31,1304;09.01.2014
28,3121;10.01.2014
29,6613;11.01.2014
19,5917;12.01.2014
41,9446;13.01.2014
49,3521;14.01.2014
45,6888;15.01.2014
40,7513;16.01.2014
39,5813;17.01.2014
31,8692;18.01.2014
24,6921;19.01.2014
48,5179;20.01.2014
49,5075;21.01.2014
52,6829;22.01.2014
48,0096;23.01.2014
50,2063;24.01.2014
35,3217;25.01.2014
27,7804;26.01.2014
38,9429;27.01.2014
43,2025;28.01.2014
39,6638;29.01.2014
43,7467;30.01.2014
45,8517;31.01.2014
30,3604;01.02.2014
27,6267;02.02.2014
46,7746;03.02.2014
43,8517;04.02.2014
35,9767;05.02.2014
35,8846;06.02.2014
28,8467;07.02.2014
27,6838;08.02.2014
18,6521;09.02.2014
40,7317;10.02.2014
38,5017;11.02.2014
34,3183;12.02.2014
32,9454;13.02.2014
34,4983;14.02.2014
17,2688;15.02.2014
14,715;16.02.2014
38,8588;17.02.2014
40,7458;18.02.2014
43,9363;19.02.2014
34,9346;20.02.2014
34,56;21.02.2014
28,3563;22.02.2014
20,8963;23.02.2014
30,5396;24.02.2014
34,5588;25.02.2014
41,3404;26.02.2014
41,7246;27.02.2014
41,3504;28.02.2014
33,575;01.03.2014
29,1092;02.03.2014
38,0033;03.03.2014
46,8308;04.03.2014
42,6863;05.03.2014
39,9221;06.03.2014
33,4321;07.03.2014
27,8192;08.03.2014
18,3217;09.03.2014
34,5146;10.03.2014
33,2467;11.03.2014
35,8479;12.03.2014
38,4996;13.03.2014
34,9479;14.03.2014
14,0504;15.03.2014
-4,1275;16.03.2014
