Peak (09-20);Date
32,6417;23.06.2020
36,8167;24.06.2020
37,0358;25.06.2020
36,7758;26.06.2020
24,025;27.06.2020
12,5917;28.06.2020
31,3475;29.06.2020
27,8408;30.06.2020
33,9475;01.07.2020
41,1733;02.07.2020
35,2583;03.07.2020
19,16;04.07.2020
-5,0217;05.07.2020
27,685;06.07.2020
31,985;07.07.2020
44,8208;08.07.2020
44,835;09.07.2020
38,1442;10.07.2020
26,6592;11.07.2020
20,1333;12.07.2020
35,825;13.07.2020
38,3475;14.07.2020
45,4217;15.07.2020
49,4767;16.07.2020
39,3733;17.07.2020
27,3117;18.07.2020
25,085;19.07.2020
33,6733;20.07.2020
32,5283;21.07.2020
36,2542;22.07.2020
36,975;23.07.2020
33,4025;24.07.2020
25,3742;25.07.2020
17,6867;26.07.2020
36,7533;27.07.2020
34,5042;28.07.2020
31,4258;29.07.2020
36,4333;30.07.2020
40,0558;31.07.2020
28,8642;01.08.2020
28,09;02.08.2020
40,6058;03.08.2020
39,9567;04.08.2020
29,9158;05.08.2020
35,4425;06.08.2020
37,5933;07.08.2020
30,93;08.08.2020
27,6708;09.08.2020
40,4233;10.08.2020
39,0958;11.08.2020
40,4683;12.08.2020
42,125;13.08.2020
43,8858;14.08.2020
30,0033;15.08.2020
26,1342;16.08.2020
43,9033;17.08.2020
44,285;18.08.2020
39,4467;19.08.2020
41,1442;20.08.2020
33,07;21.08.2020
27,2942;22.08.2020
18,925;23.08.2020
48,8383;24.08.2020
40,8017;25.08.2020
37,4317;26.08.2020
52,6258;27.08.2020
43,6275;28.08.2020
36,2425;29.08.2020
32,2483;30.08.2020
64,8633;31.08.2020
54,7225;01.09.2020
53,6475;02.09.2020
43,0592;03.09.2020
43;04.09.2020
32,0883;05.09.2020
34,4142;06.09.2020
48,3017;07.09.2020
43,6667;08.09.2020
42,1033;09.09.2020
53,2583;10.09.2020
50,4408;11.09.2020
35,7392;12.09.2020
32,6617;13.09.2020
59,5275;14.09.2020
82,5717;15.09.2020
61,5117;16.09.2020
55,4725;17.09.2020
48,0525;18.09.2020
38,645;19.09.2020
37,0792;20.09.2020
72,62;21.09.2020
58,2833;22.09.2020
54,5;23.09.2020
51,4033;24.09.2020
47,3525;25.09.2020
35,5425;26.09.2020
35,6408;27.09.2020
54,4442;28.09.2020
69,7425;29.09.2020
55,6917;30.09.2020
46,7367;01.10.2020
42,17;02.10.2020
25,4558;03.10.2020
1,2258;04.10.2020
40,66;05.10.2020
40,2008;06.10.2020
42,5625;07.10.2020
36,0775;08.10.2020
46,8392;09.10.2020
33,4233;10.10.2020
33,5175;11.10.2020
55,3217;12.10.2020
52,3175;13.10.2020
41,1808;14.10.2020
48,1633;15.10.2020
53,255;16.10.2020
42,9617;17.10.2020
34,8408;18.10.2020
51,05;19.10.2020
42,0033;20.10.2020
39,1067;21.10.2020
46,9492;22.10.2020
52,475;23.10.2020
37,835;24.10.2020
21,0225;25.10.2020
47,2417;26.10.2020
41,2075;27.10.2020
41,8308;28.10.2020
44,155;29.10.2020
38,7192;30.10.2020
32,8592;31.10.2020
19,3933;01.11.2020
41,23;02.11.2020
